season,R2,RE,CE
Jan,0.44488925190332,0.54806303275542,0.389287067205651
Feb,0.541923127805277,0.617039314673189,-0.283572927204808
Mar,0.343205493053246,0.547233990365927,0.0624904792184042
Apr,0.503798464952139,0.59427562690131,-0.0249701013693973
May,0.512014007992389,0.491552788774185,0.458311130253026
Jun,0.349920264086466,0.34500730924059,0.304534497228658
Jul,0.41154332142851,0.350020218566023,0.278560316524628
Aug,0.331867204192092,0.29013797182066,0.225206946036394
Sep,0.34594357616583,0.306222028461342,0.223578755790997
Oct,0.416104787611502,0.489307058689582,0.3994877592198
Nov,0.391670543257586,0.41797069293165,0.295529230234093
Dec,0.300394457702502,0.300259618797881,0.237025251272306
Ann,0.463603453672111,0.468769973994929,0.329502598140093
